bay_id,st_marker_id,status,location,lat,lon
1853,2574N,Unoccupied,"(-37.81435220053646, 144.95889433094547)",-37.81435220053646,144.95889433094547
4590,8318E,Unoccupied,"(-37.82510235384696, 144.968277314659)",-37.82510235384696,144.968277314659
1142,C1216,Unoccupied,"(-37.81243891726773, 144.95952744729686)",-37.81243891726773,144.95952744729686
5339,8289W,Unoccupied,"(-37.82643939554883, 144.96775375658632)",-37.82643939554883,144.96775375658632
5022,9455S,Unoccupied,"(-37.8302858788631, 144.965829067967)",-37.8302858788631,144.965829067967
6197,13307W,Unoccupied,"(-37.82052059935896, 144.94720592383425)",-37.82052059935896,144.94720592383425
4122,C6406,Unoccupied,"(-37.80368004193126, 144.9510178787948)",-37.80368004193126,144.9510178787948
6285,13448E,Unoccupied,"(-37.819272198704795, 144.94862868084078)",-37.819272198704795,144.94862868084078
6145,C13684,Present,"(-37.81997970286915, 144.94329845538346)",-37.81997970286915,144.94329845538346
569,103W,Unoccupied,"(-37.80806338920739, 144.97139714228757)",-37.80806338920739,144.97139714228757
5887,12907S,Unoccupied,"(-37.798546165104554, 144.96523813543055)",-37.798546165104554,144.96523813543055
4422,C7684,Unoccupied,"(-37.80367821515115, 144.95521518472984)",-37.80367821515115,144.95521518472984
6044,13008N,Unoccupied,"(-37.81980900458649, 144.9512879816632)",-37.81980900458649,144.9512879816632
3045,5148E,Present,"(-37.80281487702632, 144.95698593240158)",-37.80281487702632,144.95698593240158
5133,9946N,Unoccupied,"(-37.82590006559615, 144.96745658543585)",-37.82590006559615,144.96745658543585
6399,13651W,Unoccupied,"(-37.82036941672416, 144.9454059469815)",-37.82036941672416,144.9454059469815
4608,8337W,Unoccupied,"(-37.82460200635495, 144.9683084063169)",-37.82460200635495,144.9683084063169
4036,C6110,Unoccupied,"(-37.80468600562186, 144.95234559605683)",-37.80468600562186,144.95234559605683
4054,C6146,Unoccupied,"(-37.8042026441709, 144.95243150666175)",-37.8042026441709,144.95243150666175
2166,3823S,Present,"(-37.81080762637485, 144.9599341032878)",-37.81080762637485,144.9599341032878
6047,13014N,Unoccupied,"(-37.81986281600943, 144.95110125181054)",-37.81986281600943,144.95110125181054
5059,9836N,Unoccupied,"(-37.82512948650256, 144.97008266945733)",-37.82512948650256,144.97008266945733
3086,5228E,Unoccupied,"(-37.80530531920388, 144.95729299381196)",-37.80530531920388,144.95729299381196
6428,13683W,Unoccupied,"(-37.82051140418841, 144.94609471266074)",-37.82051140418841,144.94609471266074
1474,1787S,Unoccupied,"(-37.81737439072121, 144.96396411369312)",-37.81737439072121,144.96396411369312
4976,9405S,Unoccupied,"(-37.829899710102254, 144.96716103300156)",-37.829899710102254,144.96716103300156
3970,C5908,Unoccupied,"(-37.80455580948302, 144.95388168401863)",-37.80455580948302,144.95388168401863
6144,C13680,Unoccupied,"(-37.819960436715434, 144.94336469710623)",-37.819960436715434,144.94336469710623
3693,7654N,Present,"(-37.804983236421904, 144.95695524712357)",-37.804983236421904,144.95695524712357
578,12E,Unoccupied,"(-37.814692138905414, 144.97470510781517)",-37.814692138905414,144.97470510781517
5148,9966N,Unoccupied,"(-37.82597415273335, 144.9672022907011)",-37.82597415273335,144.9672022907011
3934,C5784,Unoccupied,"(-37.80416013145049, 144.9554538402955)",-37.80416013145049,144.9554538402955
6422,13670E,Unoccupied,"(-37.8209831564256, 144.9454158470241)",-37.8209831564256,144.9454158470241
1027,1192E,Unoccupied,"(-37.81331958123158, 144.96005673276989)",-37.81331958123158,144.96005673276989
3971,C5910,Present,"(-37.8045312080333, 144.9538860279457)",-37.8045312080333,144.9538860279457
5853,C9114,Present,"(-37.79839824640371, 144.9647112405815)",-37.79839824640371,144.9647112405815
1543,1914N,Unoccupied,"(-37.81450344349496, 144.9696479546364)",-37.81450344349496,144.9696479546364
6909,14265W,Unoccupied,"(-37.79439609034719, 144.96488272805374)",-37.79439609034719,144.96488272805374
5031,9506N,Present,"(-37.82841181091756, 144.96660921706632)",-37.82841181091756,144.96660921706632
6061,13044N,Present,"(-37.82109504413756, 144.94359313381324)",-37.82109504413756,144.94359313381324
6283,13444E,Unoccupied,"(-37.8191641341279, 144.94862454027674)",-37.8191641341279,144.94862454027674
5343,8297W,Unoccupied,"(-37.826132269043256, 144.96784676534384)",-37.826132269043256,144.96784676534384
2647,10121W,Unoccupied,"(-37.803204315931595, 144.94797216601955)",-37.803204315931595,144.94797216601955
